DateTime,Outdoor_Temperature,DH_Heating_Rate
 01/03  08:30:00,8.39,202.86
 01/03  08:45:00,8.54,201.78
 01/03  09:00:00,8.69,198.81
 01/03  09:15:00,8.8425,198.36
 01/03  09:30:00,8.995,199.13
 01/03  09:45:00,9.1475,196.49
 01/03  10:00:00,9.3,195.1
 01/03  10:15:00,9.45,196.56
 01/03  10:30:00,9.6,194.39
 01/03  10:45:00,9.75,192.89
 01/03  11:00:00,9.9,191.7
 01/03  11:15:00,9.9175,192.38
 01/03  11:30:00,9.935,192.18
 01/03  11:45:00,9.9525,190
 01/03  12:00:00,9.97,188.99
 01/03  12:15:00,9.985,190.09
 01/03  12:30:00,10,185.45
 01/03  12:45:00,10.015,183.01
 01/03  13:00:00,10.03,185.93
 01/03  13:15:00,10.045,185
 01/03  13:30:00,10.06,183.34
 01/03  13:45:00,10.075,188.42
 01/03  14:00:00,10.09,184.92
 01/03  14:15:00,10.0625,186.03
 01/03  14:30:00,10.035,186.64
 01/03  14:45:00,10.0075,186.25
 01/03  15:00:00,9.98,185.02
 01/03  15:15:00,9.95,186.57
 01/03  15:30:00,9.92,187.59
 01/03  15:45:00,9.89,185.92
 01/03  16:00:00,9.86,188.14
 01/03  16:15:00,9.8325,194.01
 01/03  16:30:00,9.805,197.09
 01/03  16:45:00,9.7775,198.46
 01/03  17:00:00,9.75,198.89
 01/03  17:15:00,9.755,196.16
 01/03  17:30:00,9.76,198.57
 01/03  17:45:00,9.765,197.16
 01/03  18:00:00,9.77,196.25
 01/03  18:15:00,9.775,196.56
 01/03  18:30:00,9.78,196.12
 01/03  18:45:00,9.785,196.44
 01/03  19:00:00,9.79,195.69
 01/03  19:15:00,9.795,196.23
 01/03  19:30:00,9.8,196.7
 01/03  19:45:00,9.805,194.85
 01/03  20:00:00,9.81,196.26
 01/03  20:15:00,9.8075,189.2
 01/03  20:30:00,9.805,186.38
 01/03  20:45:00,9.8025,185.52
 01/03  21:00:00,9.8,184.72
 01/03  21:15:00,9.7975,186.21
 01/03  21:30:00,9.795,184.91
 01/03  21:45:00,9.7925,186.88
 01/03  22:00:00,9.79,184.9
 01/03  22:15:00,9.7875,184.43
 01/03  22:30:00,9.785,185.81
 01/03  22:45:00,9.7825,186.93
 01/03  23:00:00,9.78,183.74
 01/03  23:15:00,9.68,184.24
 01/03  23:30:00,9.58,185.83
 01/03  23:45:00,9.48,185.57
 01/03  24:00:00,9.38,186.45
 01/04  00:15:00,9.28,193.45
 01/04  00:30:00,9.18,195.84
 01/04  00:45:00,9.08,197.32
 01/04  01:00:00,8.98,195.89
 01/04  01:15:00,8.88,196.71
 01/04  01:30:00,8.78,195.61
 01/04  01:45:00,8.68,196.71
 01/04  02:00:00,8.58,196.02
 01/04  02:15:00,8.4875,189.94
 01/04  02:30:00,8.395,187.56
 01/04  02:45:00,8.3025,186.06
 01/04  03:00:00,8.21,187.44
 01/04  03:15:00,8.12,188.25
 01/04  03:30:00,8.03,188.27
 01/04  03:45:00,7.94,190.41
 01/04  04:00:00,7.85,189.63
 01/04  04:15:00,7.7575,190.28
 01/04  04:30:00,7.665,191.47
 01/04  04:45:00,7.5725,192.01
 01/04  05:00:00,7.48,192.38
 01/04  05:15:00,7.455,193.99
 01/04  05:30:00,7.43,193.82
 01/04  05:45:00,7.405,191.22
 01/04  06:00:00,7.38,193.45
 01/04  06:15:00,7.3525,194.11
 01/04  06:30:00,7.325,193.41
 01/04  06:45:00,7.2975,193.94
 01/04  07:00:00,7.27,195.73
 01/04  07:15:00,7.245,193.11
 01/04  07:30:00,7.22,193.5
 01/04  07:45:00,7.195,196.56
 01/04  08:00:00,7.17,195.81
 01/04  08:15:00,7.29,190.72
 01/04  08:30:00,7.41,186.82
 01/04  08:45:00,7.53,180.76
 01/04  09:00:00,7.65,174.71
 01/04  09:15:00,7.77,172.08
 01/04  09:30:00,7.89,167.94
 01/04  09:45:00,8.01,164.4
 01/04  10:00:00,8.13,165.32
 01/04  10:15:00,8.25,166.61
